#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date
GCF_000442215.1	PRJNA232751	SAMN02953859	AUPI00000000.1	representative genome	118797	118797	Lipotes vexillifer			latest	Scaffold	Major	Full	2013/07/31	Lipotes_vexillifer_v1	BGI	GCA_000442215.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/442/215/GCF_000442215.1_Lipotes_vexillifer_v1			na
GCF_000243295.1	PRJNA189960	SAMN00632092	AHIN00000000.1	representative genome	127582	9778	Trichechus manatus latirostris		Lorelei	latest	Scaffold	Major	Full	2012/01/23	TriManLat1.0	Broad Institute	GCA_000243295.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/295/GCF_000243295.1_TriManLat1.0			na
GCF_017591425.1	PRJNA722036	SAMN13876228	JAADBW000000000.1	representative genome	130825	130825	Ochotona curzoniae		NIBS_2020	latest	Scaffold	Major	Full	2021/03/26	NIBS_Ocur_1.0	National Institute of Biological Sciences, Beijing	GCA_017591425.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/591/425/GCF_017591425.1_NIBS_Ocur_1.0			na
GCF_000151845.1	PRJNA275879	SAMN02894360	ABRP00000000.2	representative genome	132908	132908	Pteropus vampyrus		Shadow	latest	Scaffold	Major	Full	2014/12/05	Pvam_2.0	Baylor College of Medicine	GCA_000151845.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/845/GCF_000151845.1_Pvam_2.0			na
GCF_902729225.1	PRJNA703023	SAMEA5634742	CACVBW000000000.1	representative genome	143291	143291	Pteropus giganteus			latest	Scaffold	Major	Full	2020/04/15	Ma_sr-lr_union100	CIRI-Inserm-U1111	GCA_902729225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/729/225/GCF_902729225.1_Ma_sr-lr_union100			na
GCF_014570555.1	PRJNA666705	SAMN11464812	VBRX00000000.1	representative genome	143292	143292	Manis pentadactyla		MP20	latest	Scaffold	Major	Full	2020/09/15	YNU_ManPten_2.0	Yunnan University	GCA_014570555.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/570/555/GCF_014570555.1_YNU_ManPten_2.0			na
GCF_000260355.1	PRJNA193510	SAMN00727830	AJFV00000000.1	representative genome	143302	143302	Condylura cristata		star-nosed mole 26May11	latest	Scaffold	Major	Full	2012/05/01	ConCri1.0	Broad Institute	GCA_000260355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/260/355/GCF_000260355.1_ConCri1.0			na
GCF_000296735.1	PRJNA232768	SAMN00744889	AMDV00000000.1	representative genome	185453	185453	Chrysochloris asiatica			latest	Scaffold	Major	Full	2012/09/19	ChrAsi1.0	Broad Institute	GCA_000296735.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/296/735/GCF_000296735.1_ChrAsi1.0			na
GCF_001890085.1	PRJNA357596	SAMN03177460	JXIK00000000.1	representative genome	186990	186990	Hipposideros armiger		ML-2016	latest	Scaffold	Major	Full	2016/12/06	ASM189008v1	SKLEC & IECR	GCA_001890085.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/085/GCF_001890085.1_ASM189008v1			na
GCF_016433145.1	PRJNA769689	SAMN16807781	JADWME000000000.1	representative genome	191870	191870	Gracilinanus agilis		LMUSP501	latest	Chromosome	Major	Full	2021/01/06	AgileGrace	Nanjing Normal University	GCA_016433145.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/433/145/GCF_016433145.1_AgileGrace			na
GCF_014824575.2	PRJNA673222	SAMN12282880	VSFL00000000.1	representative genome	192404	192404	Sturnira hondurensis	ecotype=Veracruz	20B	latest	Scaffold	Minor	Full	2020/09/30	WHU_Shon_v2.1	College of Life Sciences at Wuhan University	GCA_014824575.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/824/575/GCF_014824575.2_WHU_Shon_v2.1			na
GCF_023159225.1	PRJNA837248	SAMN26876106	JALGBO000000000.1	representative genome	214514	38669	Perognathus longimembris pacificus		PPM17	latest	Chromosome	Major	Full	2022/04/27	ASM2315922v1	San Diego Zoo Wildlife Alliance	GCA_023159225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/159/225/GCF_023159225.1_ASM2315922v1			na
GCF_000327345.1	PRJNA232515	SAMN01103204	ALWT00000000.1	representative genome	225400	225400	Myotis davidii			latest	Scaffold	Major	Full	2012/12/20	ASM32734v1	BGI	GCA_000327345.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/327/345/GCF_000327345.1_ASM32734v1			na
GCF_003704035.1	PRJNA738144	SAMN10150431	RCWR00000000.1	representative genome	230844	10042	Peromyscus maniculatus bairdii		BW	latest	Chromosome	Major	Full	2020/09/17	HU_Pman_2.1.3	Harvard University / Howard Hughes Medical Institute	GCA_003704035.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/704/035/GCF_003704035.1_HU_Pman_2.1.3			na
GCF_000334495.1	PRJNA221634	SAMN01084043	ALAR00000000.1	representative genome	246437	246437	Tupaia chinensis			latest	Scaffold	Major	Full	2013/01/31	TupChi_1.0	BGI	GCA_000334495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/334/495/GCF_000334495.1_TupChi_1.0			na
GCF_012295265.1	PRJNA649359	SAMN14395261	JAASLC000000000.1	representative genome	286419	9612	Canis lupus dingo	ecotype=Alpine	COOINDA	latest	Chromosome	Major	Full	2020/04/15	UNSW_AlpineDingo_1.0	University of New South Wales	GCA_012295265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/295/265/GCF_012295265.1_UNSW_AlpineDingo_1.0			na
GCF_001595765.1	PRJNA317472	SAMN03652541	LDJU00000000.1	representative genome	291302	291302	Miniopterus natalensis		MN2012-01	latest	Scaffold	Major	Full	2016/03/22	Mnat.v1	University of California, San Francisco	GCA_001595765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/595/765/GCF_001595765.1_Mnat.v1			na
GCF_000493695.1	PRJNA237330	SAMN02192642	ATDI00000000.1	representative genome	310752	9767	Balaenoptera acutorostrata scammoni			latest	Scaffold	Major	Full	2013/10/31	BalAcu1.0	Korea Ocean Research & Development Institute	GCA_000493695.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/493/695/GCF_000493695.1_BalAcu1.0			na
GCF_000951035.1	PRJNA279495	SAMN03121814	JYKR00000000.1	representative genome	336983	54131	Colobus angolensis palliatus		OR3802	latest	Scaffold	Major	Full	2015/03/12	Cang.pa_1.0	Baylor College of Medicine	GCA_000951035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/951/035/GCF_000951035.1_Cang.pa_1.0			na
GCF_000956105.1	PRJNA281642	SAMN03121823	JZKE00000000.1	representative genome	379532	379532	Propithecus coquereli		6110/MARCELLA	latest	Scaffold	Major	Full	2015/03/23	Pcoq_1.0	Baylor College of Medicine	GCA_000956105.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/956/105/GCF_000956105.1_Pcoq_1.0			na
GCF_002288905.1	PRJNA407952	SAMN07211055	NSES00000000.1	representative genome	391180	34882	Enhydra lutris kenyoni		GAN:26980312	latest	Scaffold	Major	Full	2017/09/11	ASM228890v2	BC Cancer Agency	GCA_002288905.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/288/905/GCF_002288905.1_ASM228890v2			na
GCF_009834535.1	PRJNA605179	SAMN12102236	VSZR00000000.1	representative genome	419612	419612	Camelus ferus		YT-003-E	latest	Chromosome	Major	Full	2020/01/08	BCGSAC_Cfer_1.0	The Bactrian Camels Genome Sequencing and Analysis Consortium	GCA_009834535.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/834/535/GCF_009834535.1_BCGSAC_Cfer_1.0			na
GCF_902806735.1	PRJNA842339	SAMEA5971946	CADCXP000000000.1	representative genome	447135	447135	Myodes glareolus			latest	Scaffold	Major	Full	2020/02/22	Bank_vole1_10x	LIV	GCA_902806735.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/806/735/GCF_902806735.1_Bank_vole1_10x			na
GCF_020171115.1	PRJNA769404	SAMN19764019	JAIAWX000000000.1	representative genome	452646	452646	Neogale vison		M4711	latest	Chromosome	Major	Full	2021/09/29	ASM_NN_V1	Dalhousie University	GCA_020171115.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/171/115/GCF_020171115.1_ASM_NN_V1			na
GCF_000696425.1	PRJNA253111	SAMN01758971	JMZW00000000.1	representative genome	482537	482537	Galeopterus variegatus			latest	Scaffold	Major	Full	2014/06/05	G_variegatus-3.0.2	Washington University (WashU)	GCA_000696425.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/696/425/GCF_000696425.1_G_variegatus-3.0.2			na
GCF_004785775.1	PRJNA533235	SAMN11172698	SRMG00000000.1	representative genome	491861	491861	Grammomys surdaster		TR1022	latest	Scaffold	Major	Full	2019/04/12	NIH_TR_1.0	NIH Sequencing Center	GCA_004785775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/785/775/GCF_004785775.1_NIH_TR_1.0			na
GCF_018345385.1	PRJNA730899	SAMN16815335	JADWOQ000000000.1	representative genome	494514	494514	Vulpes lagopus	strain=Blue_001		latest	Chromosome	Major	Full	2021/05/12	ASM1834538v1	Hebei Normal University of Science and Technology	GCA_018345385.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/345/385/GCF_018345385.1_ASM1834538v1			na
GCF_002776525.4	PRJNA419387	SAMN07735529	PDMG00000000.3	representative genome	591936	591936	Piliocolobus tephrosceles		RC106	latest	Chromosome	Minor	Full	2019/12/12	ASM277652v4	University of Oregon	GCA_002776525.4	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/776/525/GCF_002776525.4_ASM277652v4			na
GCF_012274545.1	PRJNA625221	SAMN10973724	JAAHWF000000000.1	representative genome	885580	885580	Fukomys damarensis		Sample0158	latest	Scaffold	Major	Full	2020/04/13	DMR_v1.0_HiC	DNA Zoo Consortium	GCA_012274545.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/274/545/GCF_012274545.1_DMR_v1.0_HiC			na
GCF_000622305.1	PRJNA254049	SAMN02299330	AXCS00000000.1	representative genome	1026970	1026970	Nannospalax galili		Female #2095	latest	Scaffold	Major	Full	2014/06/05	S.galili_v1.0	BGI	GCA_000622305.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/622/305/GCF_000622305.1_S.galili_v1.0			na
GCF_903992535.2	PRJNA687149	SAMEA994740	CAJEUG000000000.2	representative genome	1047088	1047088	Arvicola amphibius			latest	Chromosome	Major	Full	2021/05/15	mArvAmp1.2	Wellcome Sanger Institute	GCA_903992535.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/903/992/535/GCF_903992535.2_mArvAmp1.2			na
GCF_000298275.1	PRJNA237355	SAMN00744890	ALYB00000000.1	representative genome	1230840	9818	Orycteropus afer afer		SDZICR_OR568_19922	latest	Scaffold	Major	Full	2012/09/20	OryAfe1.0	Broad Institute	GCA_000298275.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/298/275/GCF_000298275.1_OryAfe1.0			na
GCF_019320065.1	PRJNA758978	SAMN15814149	JACTMD000000000.1	representative genome	1574408	1574408	Cervus canadensis		Bull #8, Minnesota	latest	Chromosome	Major	Full	2021/07/26	ASM1932006v1	Iowa State University	GCA_019320065.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/320/065/GCF_019320065.1_ASM1932006v1			na
GCF_014898765.1	PRJNA717316	SAMN14930875	JACEOH000000000.1	representative genome	1608482	1608482	Puma yagouaroundi	ecotype=Mexico		latest	Scaffold	Major	Full	2020/10/20	PumYag	Felidae consortium	GCA_014898765.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/898/765/GCF_014898765.1_PumYag			na
GCF_003031525.2	PRJNA449518	SAMN05831577	MKKW00000000.1	representative genome	1706337	189058	Neophocaena asiaeorientalis asiaeorientalis	breed=wild		latest	Scaffold	Minor	Full	2018/04/03	Neophocaena_asiaeorientalis_V1	Nanjing normal university	GCA_003031525.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/031/525/GCF_003031525.2_Neophocaena_asiaeorientalis_V1			na
GCF_000164805.1	PRJNA236776	SAMN02445010	ABRT00000000.2	representative genome	1868482	1868482	Carlito syrichta		Samal-C Ts95f	latest	Scaffold	Major	Full	2013/09/18	Tarsius_syrichta-2.0.1	Washington University (WashU)	GCA_000164805.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/805/GCF_000164805.1_Tarsius_syrichta-2.0.1			na
GCF_001604975.1	PRJNA328123	SAMN04522148	LVWQ00000000.1	representative genome	2715852	2715852	Cebus imitator		Cc_AM_T3	latest	Scaffold	Major	Full	2016/04/04	Cebus_imitator-1.0	McDonnell Genome Institute - Washington University School of Medicine	GCA_001604975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/604/975/GCF_001604975.1_Cebus_imitator-1.0			na
